Unnamed: 0,_id,name
7902,7902,aspartate catabolic process
7923,7923,Inferior myocardial infarction
7925,7925,cellular response to exogenous dsRNA
7953,7953,Daptomycin
7956,7956,Sleep Arousal Disorders
7971,7971,cellular protein complex disassembly
7978,7978,BRIP1
8008,8008,PRB1
8010,8010,regulation of cellular response to oxidative stress
8015,8015,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
8016,8016,Anogenital warts
8021,8021,Staring
8025,8025,pulmonary valve morphogenesis
8040,8040,Quinidine barbiturate
8065,8065,regulation of membrane hyperpolarization
8075,8075,HARS1
8109,8109,regulation of carbohydrate metabolic process
8128,8128,insulin secretion involved in cellular response to glucose stimulus
8137,8137,endocardial cell differentiation
8143,8143,intercellular transport
8159,8159,PAUPAR
8165,8165,response to estrogen
8210,8210,primary amino compound biosynthetic process
8215,8215,cellular aldehyde metabolic process
8216,8216,Mycophenolate mofetil
8220,8220,regulation of carbohydrate catabolic process by regulation of transcription from RNA polymerase II promoter
8239,8239,Polyarteritis nodosa
8246,8246,"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"
8250,8250,RAD51L3-RFFL
8260,8260,HNF1A
8266,8266,pituitary gland
8267,8267,Pneumonia mycoplasmal
8270,8270,negative regulation of secondary metabolite biosynthetic process
8291,8291,Jarisch-Herxheimer reaction
8318,8318,Stimulation Large Intestine Fluid/Electrolyte Secretion
8326,8326,Extra-nuclear estrogen signaling
8328,8328,ZNF157
8359,8359,peptidyl-arginine modification
8369,8369,Carbamide peroxide
8374,8374,intramolecular transferase activity
8382,8382,Streptobacillary fever
8422,8422,monocarboxylic acid biosynthetic process
8443,8443,ARHGAP42P4
8465,8465,mucopolysaccharide metabolic process
8475,8475,Partial Cholinergic Nicotinic Agonists
8488,8488,RNF146
8491,8491,cellular response to interferon-alpha
8518,8518,cellular response to insulin-like growth factor stimulus
8522,8522,"Urinary Incontinence, Stress"
8534,8534,Paroxysmal nocturnal haemoglobinuria
8570,8570,cellular response to oxidative stress
8587,8587,Complete hearing loss
8591,8591,Scotoma of blind spot area
8595,8595,purine nucleotide-sugar transmembrane transporter activity
8613,8613,cellular detoxification of aldehyde
8677,8677,Myopericarditis
8690,8690,Bradycardia
8722,8722,Electrocardiogram ST segment depression
8734,8734,endocardium
8745,8745,inward rectifying potassium channel
8783,8783,nucleotide-sugar transmembrane transporter activity
8788,8788,atrial cardiac muscle cell action potential
8800,8800,arginine biosynthetic process
8807,8807,Coronary artery thrombosis
8826,8826,ZNF169
8830,8830,regulation of vacuolar transport
8836,8836,Cervical discharge
8850,8850,positive regulation of cellular amine metabolic process
8871,8871,metanephric glomerular visceral epithelial cell development
8878,8878,Autodegradation of Cdh1 by Cdh1:APC/C
8888,8888,Pulmonary alveolar haemorrhage
8942,8942,Dacarbazine
8947,8947,SMARCE1P7
8957,8957,negative regulation of cell proliferation involved in heart valve morphogenesis
8958,8958,condensed nuclear chromosome
8972,8972,MAP3K12
8983,8983,cardiac vascular smooth muscle cell development
8985,8985,cellular response to nutrient
9012,9012,collagen-containing extracellular matrix
9035,9035,oligosaccharide-lipid intermediate biosynthetic process
9055,9055,aspartate-tRNA ligase activity
9081,9081,Rifamycin
9095,9095,positive regulation of calcium ion import into sarcoplasmic reticulum
9098,9098,ARR3
9100,9100,inner ear receptor cell differentiation
9104,9104,voltage-gated calcium channel activity involved in cardiac muscle cell action potential
9105,9105,ARO80
9108,9108,positive regulation of cellular response to hypoxia
9110,9110,cellular response to diamide
9113,9113,formation of anatomical boundary
9156,9156,CDH12
9176,9176,RB1
9178,9178,cellular response to light intensity
9220,9220,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
9231,9231,endocardial cushion cell differentiation
9274,9274,ARF1P2
9280,9280,fear response
9286,9286,glomerular filtration
9295,9295,establishment or maintenance of apical/basal cell polarity
9297,9297,cellular response to caffeine
9306,9306,arginine N-methyltransferase activity
9316,9316,Ileus paralytic
9317,9317,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
9327,9327,SCARNA12
9336,9336,cytoskeleton-dependent intracellular transport
9348,9348,monocarboxylic acid catabolic process
9357,9357,negative regulation of cardiac muscle cell differentiation
9360,9360,cellular response to type I interferon
9395,9395,cellular response to dsRNA
9403,9403,endothelial microparticle
9421,9421,negative regulation of glomerular mesangial cell proliferation
9430,9430,regulation of epithelial to mesenchymal transition involved in endocardial cushion formation
9433,9433,CIART
9464,9464,EGFR Transactivation by Gastrin
9474,9474,BMP signaling pathway involved in heart development
9487,9487,Vestibular disorder
9506,9506,reticular formation
9539,9539,PARP4P1
9551,9551,nuclear RNA surveillance
9557,9557,Tearing eyes
9569,9569,TP53I13
9574,9574,carnitine biosynthetic process
9580,9580,ARL4AP4
9598,9598,cellular response to potassium ion starvation
9616,9616,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
9637,9637,ARSD
9679,9679,Parkinson's disease
9686,9686,VEGF binds to VEGFR leading to receptor dimerization
9697,9697,RUNX1 regulates estrogen receptor mediated transcription
9709,9709,CDH1
9712,9712,host cell part
9740,9740,Hepatic artery thrombosis
9758,9758,EGFR
9782,9782,ARFIP1
9808,9808,cellular response to oxygen levels
9822,9822,regulation of high-density lipoprotein particle clearance
9825,9825,ciliary transition fiber
9842,9842,CAR2
9846,9846,positive regulation of vacuolar transport
9863,9863,response to disaccharide
9877,9877,Follicular conjunctivitis
9922,9922,SMARCA1
9937,9937,BANF1P4
9999,9999,Tonsillar hypertrophy
10025,10025,Paronychia
10052,10052,Urinary hesitation
10061,10061,Eye discharge
10091,10091,negative regulation of estrogen receptor binding
10121,10121,cellular divalent inorganic anion homeostasis
10137,10137,alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex
10161,10161,"Hearing Loss, Sudden"
10162,10162,mammary gland epithelium development
10170,10170,Ischaemic cerebral infarction
10197,10197,ARF4-AS1
10241,10241,cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation
10268,10268,regulation of systemic arterial blood pressure mediated by a chemical signal
10285,10285,Propylparaben
10287,10287,regulation of arginine catabolic process
10291,10291,cellular response to magnesium ion
10294,10294,positive regulation of extracellular matrix disassembly
10320,10320,ARHGEF2-AS1
10337,10337,cellular defense response
10359,10359,carbon dioxide transmembrane transporter activity
10371,10371,Bloody discharge
10372,10372,ZNF132
10394,10394,SCARNA9L
10403,10403,endoplasmic reticulum-Golgi intermediate compartment membrane
10408,10408,cellular hormone metabolic process
